experiment simulation item wn word timeout.eyeloc
GG-EXP1 43 SUBJECT-REL 13 "story" 12 
GG-EXP1 43 OBJECT-REL 6 "sent" 6 
GG-EXP1 43 OBJECT-REL 10 "hoped" 10 
GG-EXP1 44 OBJECT-REL 6 "sent" 5 
GG-EXP1 44 OBJECT-REL 8 "the" 7 
GG-EXP1 45 SUBJECT-REL 3 "who" 3 
GG-EXP1 45 OBJECT-REL 6 "sent" 6 
GG-EXP1 46 SUBJECT-REL 8 "the" 6 
GG-EXP1 46 OBJECT-REL 6 "sent" 5 
GG-EXP1 46 OBJECT-REL 11 "for" 10 
GG-EXP1 47 SUBJECT-REL 1 "the" 1 
GG-EXP1 47 OBJECT-REL 6 "sent" 6 
GG-EXP1 47 OBJECT-REL 13 "story" 12 
GG-EXP1 48 OBJECT-REL 6 "sent" 6 
GG-EXP1 48 OBJECT-REL 7 "to" 6 
GG-EXP1 49 OBJECT-REL 6 "sent" 6 
GG-EXP1 49 OBJECT-REL 7 "to" 6 
GG-EXP1 49 OBJECT-REL 10 "hoped" 9 
GG-EXP1 50 OBJECT-REL 3 "who" 3 
GG-EXP1 50 OBJECT-REL 6 "sent" 6 
